doc_id,Title,Abstract,Year
37972180,"Humans are biocultural, science should be too.","COVID-19 is restructuring societies. Loneliness is a global health threat. Large language models are outputting biased health care information, and human-artificial intelligence (AI) interfaces are reshaping how we live. For most humans, technology, biology, and society are hopelessly entangled. Are the sciences prepared to tackle the contemporary human experience?",2023
37972171,The responsibility turn,Lessons from the COVID-19 pandemic inspire a guide to recognizing the politics of modeling.,2023
37943961,Correction is courageous.,"In a year when disagreements over scientific matters like COVID-19 continue to occupy political discourse, the surfacing of a spate of high-profile research errors is regrettable. It's crucial that the public trusts science at a time when so many topics-artificial intelligence, climate change, and pandemics-cast shadows of uncertainty on the future. Errors, intentional or not, erode confidence in science. It's not surprising that science integrity has become a focal point for major institutions in the United States, from the White House to the National Institutes of Health. Evaluating policies on misconduct is essential, but the idea of a scientific ecosystem that is free of errors is an unattainable utopia. However, evolving a more responsive ecosystem is entirely possible, and scientific journals, institutions, and researchers must together move more intentionally in this direction.",2023
37943932,Open science discovery of potent noncovalent SARS-CoV-2 main protease inhibitors.,"We report the results of the COVID Moonshot, a fully open-science, crowdsourced, and structure-enabled drug discovery campaign targeting the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) main protease. We discovered a noncovalent, nonpeptidic inhibitor scaffold with lead-like properties that is differentiated from current main protease inhibitors. Our approach leveraged crowdsourcing, machine learning, exascale molecular simulations, and high-throughput structural biology and chemistry. We generated a detailed map of the structural plasticity of the SARS-CoV-2 main protease, extensive structure-activity relationships for multiple chemotypes, and a wealth of biochemical activity data. All compound designs (>18,000 designs), crystallographic data (>490 ligand-bound x-ray structures), assay data (>10,000 measurements), and synthesized molecules (>2400 compounds) for this campaign were shared rapidly and openly, creating a rich, open, and intellectual property-free knowledge base for future anticoronavirus drug discovery.",2023
37943911,Preparing for the next pandemic.,New lead drugs to treat COVID-19 are beginning to emerge.,2023
37883560,Billions boost next-generation weapons against SARS-CoV-2.,"U.S. government project bets big on intranasal vaccines and monoclonal antibodies, but omits more ambitious approaches.",2023
37824671,Variant-adapted COVID-19 booster vaccines.,Current vaccines should be tailored to combat future SARS-CoV-2 variants.,2023
37824661,New Novavax vaccine OK'd; studies size it up against mRNA.,Limited data and lack of head-to-head studies make comparisons between shots tricky.,2023
37797027,Mapping SARS-CoV-2 antigenic relationships and serological responses.,"During the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) pandemic, multiple variants escaping preexisting immunity emerged, causing reinfections of previously exposed individuals. Here, we used antigenic cartography to analyze patterns of cross-reactivity among 21 variants and 15 groups of human sera obtained after primary infection with 10 different variants or after messenger RNA (mRNA)-1273 or mRNA-1273.351 vaccination. We found antigenic differences among pre-Omicron variants caused by substitutions at spike-protein positions 417, 452, 484, and 501. Quantifying changes in response breadth over time and with additional vaccine doses, our results show the largest increase between 4 weeks and >3 months after a second dose. We found changes in immunodominance of different spike regions, depending on the variant an individual was first exposed to, with implications for variant risk assessment and vaccine-strain selection.",2023
37797016,Award honors pair for mRNA work key to COVID-19 vaccines.,Katalin Karikó and Drew Weissman overcame a major roadblock to a novel immunization approach.,2023
37769081,MRI study charts organ damage months after COVID-19.,Imaging revealed no signs of lingering heart problems.,2023
37769070,Sheltering in place,An orphaned owl's convalescence inspired an ecologist's reflections during COVID-19 lockdown.,2023
37676938,The legacy of Covid denial,A physician warns of the broader implications of pandemic backlash.,2023
37616383,Will climate change amplify epidemics and give rise to pandemics?,"While the world recovers from the COVID-19 pandemic, another crisis continues to spiral at a much faster speed than was expected. Climate change is dominating our lives and causing a high level of distress. Countries all over the world are struggling to survive the damage caused by extreme events. They are trying to control wildfires, rebuild roads and houses damaged by floods, and learn to survive in a hotter and more dangerous world. However, there is also a new threat that is being overlooked-the interaction between climate change and infectious diseases. A comprehensive meta-analysis revealed that climate change could aggravate more than 50% of known human pathogens. Unfortunately, this is happening now.",2023
37471556,Scientists pursued for massive conference fees.,"Speakers at online COVID-19 debates battle claims they owe as much as €80,000.",2023
37471538,Genomic assessment of invasion dynamics of SARS-CoV-2 Omicron BA.1.,"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) variants of concern (VOCs) now arise in the context of heterogeneous human connectivity and population immunity. Through a large-scale phylodynamic analysis of 115,622 Omicron BA.1 genomes, we identified >6,000 introductions of the antigenically distinct VOC into England and analyzed their local transmission and dispersal history. We find that six of the eight largest English Omicron lineages were already transmitting when Omicron was first reported in southern Africa (22 November 2021). Multiple datasets show that importation of Omicron continued despite subsequent restrictions on travel from southern Africa as a result of export from well-connected secondary locations. Initiation and dispersal of Omicron transmission lineages in England was a two-stage process that can be explained by models of the country's human geography and hierarchical travel network. Our results enable a comparison of the processes that drive the invasion of Omicron and other VOCs across multiple spatial scales.",2023
37410823,Studies probe COVID-19 shots' link to rare symptoms.,"Details emerge for uncommon cases of neurologic complications, blood pressure swings, and other side effects.",2023
37384694,"Scientists, U.S. counter claims of pandemic patient zero at lab.",Intelligence report offers little new on SARS-CoV-2's origin.,2023
37384688,WHO's new chief scientist wants to look to 'tomorrow'.,"Jeremy Farrar says more must be done about COVID-19, but agency should aim to anticipate its next major challenges.",2023
37289896,"Companies hoard COVID-19 vaccines, stalling future research.",Developing better products requires comparisons with existing shots that Pfizer and Moderna won't allow.,2023
37289891,Mammals responded to reduced road traffic.,COVID-19 restrictions in 2020 reduced traffic worldwide and altered animal movement.,2023
37289888,Behavioral responses of terrestrial mammals to COVID-19 lockdowns.,"COVID-19 lockdowns in early 2020 reduced human mobility, providing an opportunity to disentangle its effects on animals from those of landscape modifications. Using GPS data, we compared movements and road avoidance of 2300 terrestrial mammals (43 species) during the lockdowns to the same period in 2019. Individual responses were variable with no change in average movements or road avoidance behavior, likely due to variable lockdown conditions. However, under strict lockdowns 10-day 95th percentile displacements increased by 73%, suggesting increased landscape permeability. Animals' 1-hour 95th percentile displacements declined by 12% and animals were 36% closer to roads in areas of high human footprint, indicating reduced avoidance during lockdowns. Overall, lockdowns rapidly altered some spatial behaviors, highlighting variable but substantial impacts of human mobility on wildlife worldwide.",2023
37228211,New antibodies that the coronavirus can't elude.,Researchers aim to make monoclonal antibodies that mutations in SARS-CoV-2 won't thwart.,2023
37228209,Decision nears for fall coronavirus vaccine.,Consensus grows for abandoning the ancestral strain to improve immune responses.,2023
37167400,End of COVID-19 emergencies sparks debate.,"Moves by WHO and U.S. dial back data collection, reporting mandates.",2023
37141365,Cascading failures in COVID-19 vaccine equity.,Ethical analysis should encompass upstream decisions and their downstream consequences.,2023
37023197,Share all SARS-CoV-2 data immediately.,"When the first cases of human infection with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) were reported from Wuhan, China, in December 2019, there was quick agreement across scientific and health communities that understanding the facts about its emergence would help prevent future outbreaks. Never could I have imagined the degree of politicization that would cloud this quest. Over the past 39 months, while reported deaths from COVID-19 increased to nearly 7 million worldwide, science on the virus's origins has gotten smaller while the politics surrounding this question has grown ever bigger. Last month, the World Health Organization (WHO) learned that scientists in China possessed data on viral samples from Wuhan that had been gathered in January 2020, which should have been shared immediately-not 3 years later-with the global research community. The lack of data disclosure is simply inexcusable. The longer it takes to understand the origins of the pandemic, the harder it becomes to answer the question, and the more unsafe the world becomes.",2023
37023187,Dispute simmers over who first shared SARS-CoV-2's genome.,"Scientists suggest that GISAID, a prominent database of virus sequences, is rewriting pandemic history.",2023
36996211,Fix the backlash against public health.,"Societies generally have reacted to deadly epidemics by strengthening health systems, including laws. Under American federalism (the constitutional division of power between states and the federal government), individual states hold primary public health powers. State legislatures have historically granted health officials wide-ranging authority. After the anthrax attacks in the United States in 2001, the US Centers for Disease Control and Prevention (CDC) supported the Model State Emergency Health Powers Act, which granted public health officials even more expansive powers to declare a health emergency and respond swiftly. But all that ended with COVID-19, as state legislatures and courts gutted this authority. The next pandemic could be far deadlier than COVID-19, but when the public looks to federal and state governments to protect them, they may find that health officials have their hands tied behind their backs.",2023
36952419,New Long Covid cases decline with Omicron.,"Virus biology, widespread vaccination may be driving down risk of persistent symptoms.",2023
36952417,"New clues to pandemic's origin surface, causing uproar.","Genetic sequences from Wuhan market may point to animal that spread SARS-CoV-2, but data remain hidden.",2023
36926981,Do COVID-19 vaccine mandates still make sense?,"Ineffective or outdated requirements could undermine trust, some vaccine researchers say.",2023
36795833,Blind spots in biodefense.,"In October, the Biden administration released its National Biodefense Strategy (NBS-22), the first update since the COVID-19 pandemic began. Although the document notes that one of the lessons of the pandemic is that threats originating anywhere are threats everywhere, it frames threats as largely external to the United States. NBS-22 focuses primarily on bioterrorism and laboratory accidents, neglecting threats posed by routine practices of animal use and production inside the United States. NBS-22 references zoonotic disease but assures readers that no new legal authorities or institutional innovations are needed. Although the US is not alone in failing to confront these risks, its failure to comprehensively address them echoes across the globe.",2023
36795816,Japan moves to bolster its vaccine R&D sector.,Major funding effort aims to address weaknesses exposed by COVID-19 pandemic.,2023
36758089,Could a popular antiviral supercharge the pandemic?,Molnupiravir appears to be speeding SARS-CoV-2 evolution.,2023
36730407,The NIH-led research response to COVID-19.,"Investment, collaboration, and coordination have been key.",2023
36730404,Managing sources of error during pandemics.,The COVID-19 pandemic has highlighted important considerations for modeling future pandemics.,2023
36730402,Protein decoys may battle COVID-19 and more.,Drugs designed to resemble viruses' cellular targets move into clinical trials.,2023
36730399,New COVID-19 vaccine strategy would mimic flu's annual shots.,Scientists and regulators seek new course amid uncertainty.,2023
36656953,"Now in charge, House Republicans ramp up probes.",New investigative panels will delve into pandemic origins and research ties with China.,2023
36634184,The unrecovered,"A journalist's empathetic portrait of COVID-19 ""long haulers"" sheds light on the realities of postviral illness.",2023
36603077,China is flying blind as the pandemic rages.,"Official death tolls are impossibly low, and some worry new variants may escape detection.",2023
36538032,Inborn errors of OAS-RNase L in SARS-CoV-2-related multisystem inflammatory syndrome in children.,Multisystem inflammatory syndrome in children (MIS-C) is a rare and severe condition that follows benign COVID-19. We report autosomal recessive deficiencies of ,2023
36520904,Pandemic vaccine equity plan may soon start winding down.,"COVAX distributed 1.84 billion vaccine doses, but many came too late. Can the world do better next time?",2022
36480629,"Thank you, Tony!","Anthony Fauci-""Tony"" to friends, colleagues, and many journalists-has never backed down from controversy. During the worst of the AIDS crisis, when HIV infection was a death sentence, he was targeted by protestors frustrated by the US government's sluggish response. Instead of ignoring their complaints, Fauci listened, acted, and eventually came to be seen as an ally to activists, all the while battling charlatans who tried to insist that HIV didn't cause AIDS. When the COVID-19 pandemic came along, the long-time director of the National Institute of Allergy and Infectious Diseases was a natural choice to help lead the country's response, and he soon became one of the most recognizable physician-scientists in the world. Fauci recently announced that he would end his time in the federal government in December 2022. He sat down with me to talk about the challenges facing science and his plans for the future. The full transcript of our interview, which is filled with valuable insights into science policy and communication, is posted on the Editor's Blog, but I wanted to share a few highlights here.",2022
36480617,"In China, 'zero COVID' has become a Catch-22.","Population chafes at control measures, but lifting them now would carry huge risks.",2022
36454863,RETRACTED: Gradual emergence followed by exponential spread of the SARS-CoV-2 Omicron variant in Africa.,"The geographic and evolutionary origins of the SARS-CoV-2 Omicron variant (BA.1), which was first detected mid-November 2021 in Southern Africa, remain unknown. We tested 13,097 COVID-19 patients sampled between mid-2021 to early 2022 from 22 African countries for BA.1 by real-time RT-PCR. By November-December 2021, BA.1 had replaced the Delta variant in all African sub-regions following a South-North gradient, with a peak Rt of 4.1. Polymerase chain reaction and near-full genome sequencing data revealed genetically diverse Omicron ancestors already existed across Africa by August 2021. Mutations, altering viral tropism, replication and immune escape, gradually accumulated in the spike gene. Omicron ancestors were therefore present in several African countries months before Omicron dominated transmission. These data also indicate that travel bans are ineffective in the face of undetected and widespread infection.",2022
36454820,Pandemic accelerates 'GRExit'.,Nearly all U.S. Ph.D. programs have dropped the standardized GRE exam as an admissions requirement.,2022
36423297,Will viral interference hold off the tripledemic?,"As multiple respiratory viruses surge, some researchers predict they will block one another.",2022
36423266,Rethinking premedical education.,"The world needs more physicians. Increasing their numbers alone won't solve the many problems associated with improving health care. But it doesn't help to have a dearth of doctors, who were generally in short supply before COVID-19 struck. The pandemic has only exacerbated doctor shortages everywhere. This doesn't bode well for a world that must prepare for future pandemics and for populations that are both growing and aging. Better health outcomes require more physicians. So, where are the bottlenecks?",2022
36423264,"Endosomes, receptors, and viruses.",Mechanisms of infection are deciphered at the host-pathogen interface.,2022
36395209,COVID-19 vaccination and menstruation.,COVID-19 vaccination causes small changes to menstruation that quickly resolve.,2022
36356153,Higher education for all.,"Universities are one of the oldest human institutions, enduring with essentially the same blueprint for a thousand years. Before the current COVID-19 pandemic, there was much talk about the promise of massive open online courses, distance learning, and other innovations to scale and expand the reach of universities, but with only limited success. Given the experience gained from educating during the pandemic, it is time for educators to ask which innovations can be introduced and, importantly, sustained, to expand the accessibility of higher education to meet the needs of the 21st century.",2022
36356121,Revealing contagion.,Mathematical models help predict and manage the course of pandemics.,2022
36302057,Unadjuvanted intranasal spike vaccine elicits protective mucosal immunity against sarbecoviruses.,"The severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) pandemic has highlighted the need for vaccines that not only prevent disease but also prevent transmission. Parenteral vaccines induce robust systemic immunity but poor immunity at the respiratory mucosa. We developed a vaccine strategy that we call ""prime and spike,"" which leverages existing immunity generated by primary vaccination (prime) to elicit mucosal immune memory within the respiratory tract by using unadjuvanted intranasal spike boosters (spike). We show that prime and spike induces robust resident memory B and T cell responses, induces immunoglobulin A at the respiratory mucosa, boosts systemic immunity, and completely protects mice with partial immunity from lethal SARS-CoV-2 infection. Using divergent spike proteins, prime and spike enables the induction of cross-reactive immunity against sarbecoviruses.",2022
36264829,Imprinted antibody responses against SARS-CoV-2 Omicron sublineages.,"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) Omicron sublineages carry distinct spike mutations resulting in escape from antibodies induced by previous infection or vaccination. We show that hybrid immunity or vaccine boosters elicit plasma-neutralizing antibodies against Omicron BA.1, BA.2, BA.2.12.1, and BA.4/5, and that breakthrough infections, but not vaccination alone, induce neutralizing antibodies in the nasal mucosa. Consistent with immunological imprinting, most antibodies derived from memory B cells or plasma cells of Omicron breakthrough cases cross-react with the Wuhan-Hu-1, BA.1, BA.2, and BA.4/5 receptor-binding domains, whereas Omicron primary infections elicit B cells of narrow specificity up to 6 months after infection. Although most clinical antibodies have reduced neutralization of Omicron, we identified an ultrapotent pan-variant-neutralizing antibody that is a strong candidate for clinical development.",2022
36264802,Heart risks fuel debate over COVID-19 boosters.,"With benefits unclear, some scientists question new round of shots for young people.",2022
36228020,"Remember, do no harm?","When the advocacy group America's Frontline Doctors appeared on the steps of the United States Supreme Court in 2020, falsely stating that hydroxychloroquine was a cure for COVID-19, their pronouncement was virally shared by right-wing media and soundly debunked by medical academicians. A year later, one of these frontliners, Joseph Ladapo, became the surgeon general of Florida and a faculty member at the University of Florida College of Medicine. He has continued to spread dangerous misinformation about COVID-19 while his academic colleagues are shamefully silent.",2022
